%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1563269751475199251,3248,1563269751462377071,/gps,0,1,50.9390075,-1.471039,16.3,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269751643876377,3249,1563269751640100002,/gps,0,1,50.9390116667,-1.47104883333,16.3,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269751875619670,3250,1563269751871851921,/gps,0,1,50.9390158333,-1.47105883333,16.3,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269752079952988,3251,1563269752076003074,/gps,0,1,50.93902,-1.47106883333,16.3,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269752235027289,3252,1563269752228364944,/gps,0,1,50.9390243333,-1.47107883333,16.3,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269752430001295,3253,1563269752423376083,/gps,0,1,50.9390285,-1.471089,16.3,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269752660000750,3254,1563269752655486106,/gps,0,1,50.9390326667,-1.47109916667,16.3,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269752882062095,3255,1563269752879935979,/gps,0,1,50.939037,-1.4711095,16.2,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269753029653184,3256,1563269753027188062,/gps,0,1,50.9390411667,-1.47111983333,16.2,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269753251580445,3257,1563269753244991064,/gps,0,1,50.9390455,-1.47113033333,16.2,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269753438430447,3258,1563269753431731939,/gps,0,1,50.9390496667,-1.471141,16.2,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269753683387655,3259,1563269753673340082,/gps,0,1,50.9390536667,-1.47115183333,16.2,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269753867995912,3260,1563269753861658096,/gps,0,1,50.9390578333,-1.471163,16.1,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269754050470461,3261,1563269754036618947,/gps,0,1,50.9390615,-1.47117466667,16.1,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269754213135723,3262,1563269754208924055,/gps,0,1,50.9390653333,-1.47118616667,16.1,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269754459933413,3263,1563269754454387903,/gps,0,1,50.9390688333,-1.471198,16.1,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269754650658274,3264,1563269754639372110,/gps,0,1,50.939072,-1.47121016667,16.1,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269754826526474,3265,1563269754822134971,/gps,0,1,50.9390748333,-1.47122266667,16.1,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269755086469499,3266,1563269755079379081,/gps,0,1,50.9390776667,-1.4712355,16.1,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269755247043710,3267,1563269755230587005,/gps,0,1,50.9390801667,-1.47124833333,16.1,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269755475908788,3268,1563269755472729921,/gps,0,1,50.9390823333,-1.4712615,16.1,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269755676514163,3269,1563269755655390024,/gps,0,1,50.9390841667,-1.471275,16.0,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269755831081471,3270,1563269755828913927,/gps,0,1,50.9390856667,-1.471289,16.1,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269756010588617,3271,1563269756008886098,/gps,0,1,50.9390868333,-1.4713025,16.0,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269756266506250,3272,1563269756254863023,/gps,0,1,50.9390878333,-1.4713165,16.0,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269756436013838,3273,1563269756432327032,/gps,0,1,50.9390883333,-1.4713305,16.0,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269756610094325,3274,1563269756607492923,/gps,0,1,50.9390888333,-1.47134466667,16.0,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269756882905780,3275,1563269756852040052,/gps,0,1,50.939089,-1.47135883333,16.0,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269757033637750,3276,1563269757025721073,/gps,0,1,50.9390893333,-1.47137316667,16.0,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269757224157996,3277,1563269757221051931,/gps,0,1,50.9390895,-1.4713875,15.9,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269757447969324,3278,1563269757445303916,/gps,0,1,50.9390896667,-1.471402,15.9,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269757644263889,3279,1563269757632216930,/gps,0,1,50.9390898333,-1.47141666667,15.9,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269757811134646,3280,1563269757803910017,/gps,0,1,50.9390898333,-1.47143116667,15.9,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269758054142920,3281,1563269758044873952,/gps,0,1,50.9390898333,-1.47144583333,15.9,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269758250791289,3282,1563269758241384029,/gps,0,1,50.9390898333,-1.4714605,15.9,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269758407941090,3283,1563269758403214931,/gps,0,1,50.93909,-1.47147533333,15.9,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269758653697462,3284,1563269758650026082,/gps,0,1,50.9390898333,-1.47149016667,15.8,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
